"","shortName","title","category"
"112","abcd_tr2semdp201","ABCD Task fMRI MID Run 2 SEM Destrieux Parcellations Part 2","Evaluated Data"
"113","abcd_midr2semp102","ABCD Task fMRI MID Run 2 Standard Error of the Mean Part 1","Evaluated Data"
"114","abcd_midr2semp101","ABCD Task fMRI MID Run 2 Standard Error of the Mean Part 1","Evaluated Data"
"115","abcd_midr2semp201","ABCD Task fMRI MID Run 2 Standard Error of the Mean Part 2","Evaluated Data"
"116","abcd_midr2semp202","ABCD Task fMRI MID Run 2 Standard Error of the Mean Part 2","Evaluated Data"
"117","mribrec02","ABCD Task fMRI REC Behavior","Task Based"
"118","mrisst02","ABCD Task fMRI SST Average Beta Weights","Evaluated Data"
"119","abcd_tfsstabwdp101","ABCD Task fMRI SST Average Beta Weights Destrieux Parcellations Part 1","Evaluated Data"
"120","abcd_tfsstabwdp201","ABCD Task fMRI SST Average Beta Weights Destrieux Parcellations Part 2","Evaluated Data"
"121","abcd_tfsstasemdp101","ABCD Task fMRI SST Average SEM Destrieux Parcellations Part 1","Evaluated Data"
"122","abcd_tfsstasemdp201","ABCD Task fMRI SST Average SEM Destrieux Parcellations Part 2","Evaluated Data"
"123","mrisstsem01","ABCD Task fMRI SST Average Standard Error of the Mean","Evaluated Data"
"124","abcd_sst02","ABCD Task fMRI SST Behavior","Task Based"
"125","mrisstr1bw01","ABCD Task fMRI SST Run 1 Beta Weights","Evaluated Data"
"126","abcd_tfsstr1bwdp101","ABCD Task fMRI SST Run 1 Beta Weights Destrieux Parcellations Part 1","Evaluated Data"
"127","abcd_tfsstr1bwdp201","ABCD Task fMRI SST Run 1 Beta Weights Destrieux Parcellations Part 2","Evaluated Data"
"128","abcd_tfsstr1semdp101","ABCD Task fMRI SST Run 1 SEM Destrieux Parcellations Part 1","Evaluated Data"
"129","abcd_tfsstr1semdp201","ABCD Task fMRI SST Run 1 SEM Destrieux Parcellations Part 2","Evaluated Data"
"130","mrisstr1sem01","ABCD Task fMRI SST Run 1 Standard Error of the Mean","Evaluated Data"
"131","mrisstr2bw01","ABCD Task fMRI SST Run 2 Beta Weights","Evaluated Data"
"132","abcd_tfsstr2bwdp101","ABCD Task fMRI SST Run 2 Beta Weights Destrieux Parcellations Part 1","Evaluated Data"
"133","abcd_tfsstr2bwdp201","ABCD Task fMRI SST Run 2 Beta Weights Destrieux Parcellations Part 2","Evaluated Data"
"134","abcd_tfsstr2semdp101","ABCD Task fMRI SST Run 2 SEM Destrieux Parcellations Part 1","Evaluated Data"
"135","abcd_tfsstr2semdp201","ABCD Task fMRI SST Run 2 SEM Destrieux Parcellations Part 2","Evaluated Data"
"136","mrisstr2bwsem01","ABCD Task fMRI SST Run 2 Standard Error of the Mean","Evaluated Data"
"137","nback_bwroi02","ABCD Task fMRI nBack Average Beta Weights","Evaluated Data"
"138","abcd_tfabwdp101","ABCD Task fMRI nBack Average Beta Weights Destrieux Parcellations Part 1","Evaluated Data"
"139","abcd_tfabwdp201","ABCD Task fMRI nBack Average Beta Weights Destrieux Parcellations Part 2","Evaluated Data"
"140","abcd_tnbasemdp101","ABCD Task fMRI nBack Average SEM Destrieux Parcellations Part 1","Evaluated Data"
"141","abcd_tnbasemdp201","ABCD Task fMRI nBack Average SEM Destrieux Parcellations Part 2","Evaluated Data"
"142","nbackallsem01","ABCD Task fMRI nBack Average Standard Error of the Mean","Evaluated Data"
"143","abcd_mrinback02","ABCD Task fMRI nBack Behavior","Task Based"
"144","nbackr101","ABCD Task fMRI nBack Run 1 Beta Weights","Evaluated Data"
"145","abcd_tfncr1bwdp101","ABCD Task fMRI nBack Run 1 Beta Weights Destrieux Parcellations Part 1","Evaluated Data"
"146","abcd_tfncr1bwdp201","ABCD Task fMRI nBack Run 1 Beta Weights Destrieux Parcellations Part 2","Evaluated Data"
"147","abcd_tfnbr1semdp101","ABCD Task fMRI nBack Run 1 SEM Destrieux Parcellations Part 1","Evaluated Data"
"148","abcd_tfnbr1semdp201","ABCD Task fMRI nBack Run 1 SEM Destrieux Parcellations Part 2","Evaluated Data"
"149","nbackr1sem01","ABCD Task fMRI nBack Run 1 Standard Error of the Mean","Evaluated Data"
"150","nbackr201","ABCD Task fMRI nBack Run 2 Beta Weights","Evaluated Data"
"151","abcd_tfnbr2bwdp101","ABCD Task fMRI nBack Run 2 Beta Weights Destrieux Parcellations Part 1","Evaluated Data"
"152","abcd_tfnbr2bwdp201","ABCD Task fMRI nBack Run 2 Beta Weights Destrieux Parcellations Part 2","Evaluated Data"
"153","abcd_tfnbr2dp101","ABCD Task fMRI nBack Run 2 SEM Destrieux Parcellations Part 1","Evaluated Data"
"154","abcd_tfnbr2dp201","ABCD Task fMRI nBack Run 2 SEM Destrieux Parcellations Part 2","Evaluated Data"
"155","nbackr2sem01","ABCD Task fMRI nBack Run 2 Standard Error of the Mean","Evaluated Data"
"156","abcd_tlfb01","ABCD Timeline Follow-back Survey Calendar Scores (TLFB)","Substance Use"
"157","abcd_y10ids01","ABCD Youth 10 Item Delinquency Scale","Social Adjustment"
"158","abcd_y7mi01","ABCD Youth 7-Up Mania Items","Mania"
"159","yacc01","ABCD Youth Acculturation Survey Modified from PhenX (ACC)","Questionnaire"
"160","abcd_yam01","ABCD Youth Alcohol Measures","Substance Use"
"161","yalcs01","ABCD Youth Alcohol Screen","Phys Exam"
"162","abcd_ant01","ABCD Youth Anthropometrics Modified From PhenX (ANT)","Phys Characteristics"
"163","abcd_bisbas01","ABCD Youth Behavioral Inhibition/Behavioral Approach System Scales Modified from PhenX (BIS/BAS)","Questionnaire"
"164","abcd_bpm01","ABCD Youth Brief Problem Monitor","Behavior"
"165","abcd_yddss01","ABCD Youth Delay Discounting Sum Scores","Task Based"
"166","abcd_ksad501","ABCD Youth Diagnostic Interview for DSM-5 5 (KSADS-5)","Diagnostic"
"167","abcd_yksad01","ABCD Youth Diagnostic Interview for DSM-5 Background Items 5 (KSADS-5)","Social Adjustment"
"168","abcd_ydmes01","ABCD Youth Discrimination Measure","Social Adjustment"
"169","abcd_ehis01","ABCD Youth Edinburgh Handedness Inventory Short Form (EHIS)","Cognitive"
"170","abcd_yest01","ABCD Youth Emotional Stroop Task","Task Based"
"171","abcd_fes01","ABCD Youth Family Environment Scale-Family Conflict Subscale Modified from PhenX (FES)","Parenting"
"172","abcd_yfb01","ABCD Youth Fitbit Baseline","Questionnaire"
"173","abcd_yff01","ABCD Youth Fitbit Followup","Questionnaire"
"174","abcd_ygi01","ABCD Youth Gender Identity","Questionnaire"
"175","biocf01","ABCD Youth Genetic Blood (RUCDR)","Phys Exam"
"176","abcd_ygs01","ABCD Youth Genetic Saliva (RUCDR)","Phys Exam"
"177","abcd_yhr01","ABCD Youth Hair Results","Substance Use"
"178","abcd_hers01","ABCD Youth Hair Sample","Substance Use"
"179","abcd_yle01","ABCD Youth Life Events","Life Events"
"180","abcd_ymidm01","ABCD Youth Marijuana Illicit Drug Measures","Substance Use"
"181","abcd_ymypisu01","ABCD Youth Mid Year Phone Interview Substance Use","Substance Use"
"182","abcd_monet01","ABCD Youth Monetary Incentive Delay Task Survey Post Scan Questionnaire","Task Based"
"183","abcd_tbss01","ABCD Youth NIH TB Summary Scores","Cognitive"
"184","abcd_ytbpai01","ABCD Youth NIH Toolbox Positive Affect Items","Cognitive"
"185","abcd_nsc01","ABCD Youth Neighborhood Safety/Crime Survey Modified from PhenX (NSC)","Questionnaire"
"186","abcd_yn01","ABCD Youth Nicalert","Phys Exam"
"187","abcd_ynm01","ABCD Youth Nicotine Measures","Substance Use"
"188","abcd_plus01","ABCD Youth Participant Last Use Survey Day 1 2 3 4 (PLUS)","Questionnaire"
"189","abcd_ypsq201","ABCD Youth Post Scan Questionnaire  2","Questionnaire"
"190","abcd_ypsq101","ABCD Youth Post Scan Questionnaire 1","Questionnaire"
"191","abcd_ypre101","ABCD Youth Pre Scan Questionnaire 1","Questionnaire"
"192","abcd_ypre201","ABCD Youth Pre Scan Questionnaire 2","Questionnaire"
"193","abcd_ypdms01","ABCD Youth Pubertal Development Scale and Menstrual Cycle Survey History (PDMS)","Phys Characteristics"
"194","abcd_prepost01","ABCD Youth Rescan Monetary Incentive Delay Task Survey Post Scan Questionnaire","Task Based"
"195","abcd_stq01","ABCD Youth Screen Time Survey (STQ)","Questionnaire"
"196","abcd_svs01","ABCD Youth Snellen Vision Screener (SVS)","Phys Exam"
"197","abcd_ysua01","ABCD Youth Substance Use Attitudes","Substance Use"
"198","abcd_ysu02","ABCD Youth Substance Use Interview","Substance Use"
"199","abcd_ysuip01","ABCD Youth Substance Use Introduction and Patterns","Substance Use"
"200","abcd_yssbpm01","ABCD Youth Summary Scores BPM and POA","Behavior"
"201","abcd_ytt01","ABCD Youth Toxicology Test","Phys Exam"
"202","abcd_ywpss01","ABCD Youth Wills Problem Solving Scale","Behavior"
"203","abcd_yrb01","ABCD Youth Youth Risk Behavior Survey Exercise Physical Activity (YRB)","Activity"
"204","abcd_ddtidp101","ABCD dMRI DTI Destrieux Parcellations Part 1","Evaluated Data"
"205","abcd_ddtidp201","ABCD dMRI DTI Destrieux Parcellations Part 2","Evaluated Data"
"206","abcd_ddtifp101","ABCD dMRI DTI Full Destrieux Parcellation Part 1","Evaluated Data"
"207","abcd_ddtifp201","ABCD dMRI DTI Full Destrieux Parcellation Part 2","Evaluated Data"
"208","abcd_dmdtifp101","ABCD dMRI DTI Full Part 1","Evaluated Data"
"209","abcd_dmdtifp202","ABCD dMRI DTI Full Part 2","Evaluated Data"
"210","abcd_dmdtifp201","ABCD dMRI DTI Full Part 2","Evaluated Data"
"211","abcd_dti_p101","ABCD dMRI DTI Part 1","Evaluated Data"
"212","abcd_dti_p201","ABCD dMRI DTI Part 2","Evaluated Data"
"213","dmriqc01","ABCD dMRI Post Processing QC","Evaluated Data"
"214","abcd_drsidp101","ABCD dMRI RSI Destrieux Parcellation Part 1","Evaluated Data"
"215","abcd_drsidp201","ABCD dMRI RSI Destrieux Parcellation Part 2","Evaluated Data"
"216","abcd_drsidp301","ABCD dMRI RSI Destrieux Parcellation Part 3","Evaluated Data"
"217","mri_rsi_p102","ABCD dMRI RSI Part 1","Evaluated Data"
"218","mri_rsi_p202","ABCD dMRI RSI Part 2","Evaluated Data"
"219","abcd_mrirsfd01","ABCD rsfMRI Destrieux","Evaluated Data"
"220","abcd_betnet02","ABCD rsfMRI Gordon Network Correlations","Evaluated Data"
"221","mrirscor02","ABCD rsfMRI Network to Subcortical ROI Correlations","Evaluated Data"
"222","abcd_mrirstv02","ABCD rsfMRI Temporal Variance","Evaluated Data"
"223","abcd_mrisdp101","ABCD sMRI Destrieux Parcellation Part 1","Evaluated Data"
"224","abcd_mrisdp201","ABCD sMRI Destrieux Parcellation Part 2","Evaluated Data"
"225","abcd_smrip101","ABCD sMRI Part 1","Evaluated Data"
"226","abcd_smrip201","ABCD sMRI Part 2","Evaluated Data"
"227","freesqc01","FreeSurfer QC","Evaluated Data"
"228","genomics_sample03","Genomics Sample","Omics"
"229","image03","Image","DTI,  MRI,  fMRI"
"230","abcd_mrfindings01","MR Findings","Summary"
"231","mriqcrp102","MRI QC Raw Part 1","Evaluated Data"
"232","mriqcrp202","MRI QC Raw Part 2","Evaluated Data"
"233","mriqcrp302","MRI QC Raw Part 3","Evaluated Data"
"234","aurora01","Mobile Data","Activity"
"235","psb01","Parent Prosocial Behavior Survey","Behavior"
"236","fmriresults01","Processed MRI Data","Evaluated Data"
"237","abcd_rhds01","Residential History Derived Scores","Socioeconomic"
"238","abcd_mhp02","Sum Scores Mental Health Parent","Summary"
"239","abcd_mhy02","Sum Scores Mental Health Youth","Summary"
"240","abcd_upps01","UPPS-P for Children Short Form (ABCD-version)","Personality"
"241","abcd_psb01","Youth Prosocial Behavior Survey","Behavior"
